ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
2,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
3,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
4,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,0.75,1.0,1.0,1.0
5,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
6,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,2.0,0.45312,1.0,0.90625
7,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,2.333,0.28906,1.0,0.90625
8,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,1.5,1.0,1.0,1.0
9,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
10,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
11,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,1.333,1.0,1.0,1.0
12,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
