dataset,language,model,method,shot,prompt_index,failure_type,count,rate
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,0,EXECUTION_FAILURE,48,0.20869565217391303
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,0,PASS,74,0.3217391304347826
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,0,SYNTAX_COMPILE,103,0.44782608695652176
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,0,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,1,EXECUTION_FAILURE,51,0.2217391304347826
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,1,PASS,72,0.3130434782608696
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,1,SYNTAX_COMPILE,102,0.4434782608695652
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,1,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,2,EXECUTION_FAILURE,41,0.1782608695652174
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,2,PASS,75,0.32608695652173914
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,2,SYNTAX_COMPILE,109,0.47391304347826085
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,2,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,3,EXECUTION_FAILURE,36,0.1565217391304348
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,3,PASS,73,0.3173913043478261
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,3,SYNTAX_COMPILE,116,0.5043478260869565
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,3,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,4,EXECUTION_FAILURE,37,0.1608695652173913
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,4,PASS,76,0.33043478260869563
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,4,SYNTAX_COMPILE,112,0.48695652173913045
codereval,java,codellama-34b-paraphrase-b,zero,0-shot,4,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,0,EXECUTION_FAILURE,34,0.14782608695652175
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,0,PASS,93,0.4043478260869565
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,0,SYNTAX_COMPILE,98,0.4260869565217391
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,0,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,1,EXECUTION_FAILURE,40,0.17391304347826086
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,1,PASS,94,0.40869565217391307
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,1,SYNTAX_COMPILE,92,0.4
codereval,java,gpt-20b-paraphrase-b,zero,0-shot,1,UNKNOWN_FAILURE,4,0.017391304347826087
