ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,gpt-20b,python,naive,3-shot,BASE vs STRUCT,0.556,0.3877,1.0,0.83882
2,gpt-20b,python,naive,3-shot,BASE vs ROBUST,0.75,0.64761,1.0,0.83882
3,gpt-20b,python,naive,3-shot,BASE vs REASONING,0.727,0.62906,1.0,0.83882
4,gpt-20b,python,naive,3-shot,BASE vs EDGE,0.857,0.83882,1.0,0.83882
5,codellama-7b,python,naive,3-shot,BASE vs STRUCT,1.333,1.0,1.0,1.0
6,codellama-7b,python,naive,3-shot,BASE vs ROBUST,0.667,1.0,1.0,1.0
7,codellama-7b,python,naive,3-shot,BASE vs REASONING,0.75,1.0,1.0,1.0
8,codellama-7b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
9,codellama-34b,python,naive,3-shot,BASE vs STRUCT,0.4,0.375,1.0,1.0
10,codellama-34b,python,naive,3-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
11,codellama-34b,python,naive,3-shot,BASE vs REASONING,0.5,0.625,1.0,1.0
12,codellama-34b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
13,codellama-13b,python,retrieval,3-shot,BASE vs STRUCT,1.5,1.0,1.0,1.0
14,codellama-13b,python,retrieval,3-shot,BASE vs ROBUST,1.333,1.0,1.0,1.0
15,codellama-13b,python,retrieval,3-shot,BASE vs REASONING,1.667,0.6875,1.0,1.0
16,codellama-13b,python,retrieval,3-shot,BASE vs EDGE,1.667,0.6875,1.0,1.0
17,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs STRUCT,4.0,0.25,1.0,1.0
18,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs ROBUST,1.429,0.60724,1.0,1.0
19,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs REASONING,0.875,1.0,1.0,1.0
20,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs EDGE,1.286,0.79053,1.0,1.0
21,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
22,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,0.6,0.6875,1.0,0.91667
23,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,0.5,0.45312,1.0,0.90625
24,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,0.5,0.34375,1.0,0.90625
25,gpt-20b,python,zero,0-shot,BASE vs STRUCT,1.222,0.81453,0.81453,0.81453
26,gpt-20b,python,zero,0-shot,BASE vs ROBUST,2.0,0.16707,0.50121,0.22276
27,gpt-20b,python,zero,0-shot,BASE vs REASONING,2.4,0.11847,0.47388,0.22276
28,gpt-20b,python,zero,0-shot,BASE vs EDGE,2.0,0.16707,0.50121,0.22276
29,codellama-13b,python,naive,3-shot,BASE vs STRUCT,1.5,1.0,1.0,1.0
30,codellama-13b,python,naive,3-shot,BASE vs ROBUST,0.4,0.375,1.0,1.0
31,codellama-13b,python,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
32,codellama-13b,python,naive,3-shot,BASE vs EDGE,0.667,0.72656,1.0,1.0
33,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,12.0,0.00098,0.00391,0.00391
34,qwen2.5-7b,python,zero,0-shot,BASE vs ROBUST,2.25,0.22656,0.29199,0.22656
35,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,2.5,0.146,0.29199,0.19466
36,qwen2.5-7b,python,zero,0-shot,BASE vs EDGE,3.5,0.02127,0.06381,0.04254
37,codellama-7b,python,zero,0-shot,BASE vs STRUCT,1.667,0.42395,1.0,0.73177
38,codellama-7b,python,zero,0-shot,BASE vs ROBUST,0.625,0.54883,1.0,0.73177
39,codellama-7b,python,zero,0-shot,BASE vs REASONING,0.714,0.75391,1.0,0.75391
40,codellama-7b,python,zero,0-shot,BASE vs EDGE,0.556,0.3877,1.0,0.73177
41,codellama-7b,python,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
42,codellama-7b,python,retrieval,3-shot,BASE vs ROBUST,0.667,0.72656,1.0,0.96875
43,codellama-7b,python,retrieval,3-shot,BASE vs REASONING,0.5,0.34375,1.0,0.6875
44,codellama-7b,python,retrieval,3-shot,BASE vs EDGE,0.364,0.09229,0.36914,0.36914
