ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-13b,java,naive,3-shot,BASE vs STRUCT,0.8,1.0,1.0,1.0
2,codellama-13b,java,naive,3-shot,BASE vs ROBUST,0.8,1.0,1.0,1.0
3,codellama-13b,java,naive,3-shot,BASE vs REASONING,0.6,0.6875,1.0,1.0
4,codellama-13b,java,naive,3-shot,BASE vs EDGE,0.833,1.0,1.0,1.0
5,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,0.5,0.45312,1.0,0.96875
6,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,1.667,0.6875,1.0,0.96875
7,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
8,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,0.667,0.72656,1.0,0.96875
9,codellama-13b,java,zero,0-shot,BASE vs STRUCT,1.333,0.77441,1.0,1.0
10,codellama-13b,java,zero,0-shot,BASE vs ROBUST,1.333,0.77441,1.0,1.0
11,codellama-13b,java,zero,0-shot,BASE vs REASONING,1.75,0.50781,1.0,1.0
12,codellama-13b,java,zero,0-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
13,codellama-34b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
14,codellama-34b,java,naive,3-shot,BASE vs ROBUST,1.2,1.0,1.0,1.0
15,codellama-34b,java,naive,3-shot,BASE vs REASONING,0.833,1.0,1.0,1.0
16,codellama-34b,java,naive,3-shot,BASE vs EDGE,0.5,1.0,1.0,1.0
17,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,3.0,0.05737,0.22949,0.22949
18,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,1.4,0.75391,0.77539,0.75391
19,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,1.8,0.3877,0.77539,0.51693
20,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,2.25,0.22656,0.67969,0.45312
21,codellama-34b,java,zero,0-shot,BASE vs STRUCT,0.429,0.28906,0.65625,0.38542
22,codellama-34b,java,zero,0-shot,BASE vs ROBUST,0.333,0.21875,0.65625,0.38542
23,codellama-34b,java,zero,0-shot,BASE vs REASONING,0.333,0.10938,0.4375,0.38542
24,codellama-34b,java,zero,0-shot,BASE vs EDGE,0.5,0.45312,0.65625,0.45312
25,codellama-7b,java,naive,3-shot,BASE vs STRUCT,3.333,0.06543,0.26172,0.12305
26,codellama-7b,java,naive,3-shot,BASE vs ROBUST,0.833,1.0,1.0,1.0
27,codellama-7b,java,naive,3-shot,BASE vs REASONING,2.75,0.09229,0.26172,0.12305
28,codellama-7b,java,naive,3-shot,BASE vs EDGE,3.333,0.06543,0.26172,0.12305
29,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,1.2,1.0,1.0,1.0
30,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,1.143,1.0,1.0,1.0
31,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,0.8,1.0,1.0,1.0
32,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,1.333,0.77441,1.0,1.0
33,codellama-7b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
34,codellama-7b,java,zero,0-shot,BASE vs ROBUST,0.833,1.0,1.0,1.0
35,codellama-7b,java,zero,0-shot,BASE vs REASONING,1.25,1.0,1.0,1.0
36,codellama-7b,java,zero,0-shot,BASE vs EDGE,1.4,0.75391,1.0,1.0
37,gpt-20b,java,naive,3-shot,BASE vs STRUCT,4.0,0.25,1.0,0.75
38,gpt-20b,java,naive,3-shot,BASE vs ROBUST,0.5,1.0,1.0,1.0
39,gpt-20b,java,naive,3-shot,BASE vs REASONING,2.5,0.375,1.0,0.75
40,gpt-20b,java,naive,3-shot,BASE vs EDGE,1.333,1.0,1.0,1.0
41,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
42,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,0.333,0.5,1.0,1.0
43,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,0.5,1.0,1.0,1.0
44,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
45,gpt-20b,java,zero,0-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
46,gpt-20b,java,zero,0-shot,BASE vs ROBUST,2.0,1.0,1.0,1.0
47,gpt-20b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
48,gpt-20b,java,zero,0-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
49,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,0.8,1.0,1.0,1.0
50,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,0.5,0.45312,1.0,1.0
51,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
52,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,1.25,1.0,1.0,1.0
53,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,1.5,0.72656,1.0,1.0
54,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
55,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,2.0,0.625,1.0,1.0
56,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,3.0,0.5,1.0,0.96875
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,0.667,0.72656,1.0,0.96875
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,0.4,0.146,0.58398,0.58398
61,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
62,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,0.5,0.625,1.0,1.0
63,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,0.5,0.625,1.0,1.0
64,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,0.75,1.0,1.0,1.0
