dataset,language,model,method,shot,prompt_index,failure_type,count,rate
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,0,EXECUTION_FAILURE,48,0.20869565217391303
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,0,PASS,74,0.3217391304347826
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,0,SYNTAX_COMPILE,103,0.44782608695652176
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,0,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,1,EXECUTION_FAILURE,53,0.23043478260869565
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,1,PASS,71,0.30869565217391304
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,1,SYNTAX_COMPILE,101,0.4391304347826087
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,1,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,2,EXECUTION_FAILURE,39,0.16956521739130434
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,2,PASS,73,0.3173913043478261
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,2,SYNTAX_COMPILE,113,0.49130434782608695
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,2,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,3,EXECUTION_FAILURE,38,0.16521739130434782
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,3,PASS,72,0.3130434782608696
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,3,SYNTAX_COMPILE,115,0.5
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,3,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,4,EXECUTION_FAILURE,37,0.1608695652173913
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,4,PASS,74,0.3217391304347826
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,4,SYNTAX_COMPILE,114,0.4956521739130435
codereval,java,codellama-34b-paraphrase-a,zero,0-shot,4,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,0,EXECUTION_FAILURE,38,0.16521739130434782
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,0,PASS,97,0.4217391304347826
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,0,SYNTAX_COMPILE,90,0.391304347826087
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,0,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,1,EXECUTION_FAILURE,33,0.14347826086956522
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,1,PASS,100,0.43478260869565216
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,1,SYNTAX_COMPILE,92,0.4
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,1,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,2,EXECUTION_FAILURE,43,0.18695652173913044
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,2,PASS,93,0.4043478260869565
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,2,SYNTAX_COMPILE,89,0.3869565217391304
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,2,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,3,EXECUTION_FAILURE,42,0.1826086956521739
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,3,PASS,88,0.3826086956521739
codereval,java,gpt-20b-paraphrase-a,zero,0-shot,3,SYNTAX_COMPILE,95,0.41304347826086957
