dataset,language,model,method,shot,prompt_index,failure_type,count,rate
mceval,java,codellama-13b,naive,3-shot,0,LOGIC_ASSERTION,139,0.5245283018867924
mceval,java,codellama-13b,naive,3-shot,0,PASS,63,0.23773584905660378
mceval,java,codellama-13b,naive,3-shot,0,RUNTIME_EXCEPTION,5,0.018867924528301886
mceval,java,codellama-13b,naive,3-shot,0,SIGNATURE_CONTRACT,1,0.0037735849056603774
mceval,java,codellama-13b,naive,3-shot,0,SYNTAX_COMPILE,53,0.2
mceval,java,codellama-13b,naive,3-shot,0,TIMEOUT,4,0.01509433962264151
mceval,java,codellama-13b,naive,3-shot,1,LOGIC_ASSERTION,126,0.47547169811320755
mceval,java,codellama-13b,naive,3-shot,1,PASS,69,0.26037735849056604
mceval,java,codellama-13b,naive,3-shot,1,RUNTIME_EXCEPTION,12,0.045283018867924525
mceval,java,codellama-13b,naive,3-shot,1,SIGNATURE_CONTRACT,1,0.0037735849056603774
mceval,java,codellama-13b,naive,3-shot,1,SYNTAX_COMPILE,54,0.2037735849056604
mceval,java,codellama-13b,naive,3-shot,1,TIMEOUT,3,0.011320754716981131
mceval,java,codellama-13b,naive,3-shot,2,LOGIC_ASSERTION,128,0.4830188679245283
mceval,java,codellama-13b,naive,3-shot,2,PASS,72,0.27169811320754716
mceval,java,codellama-13b,naive,3-shot,2,RUNTIME_EXCEPTION,8,0.03018867924528302
mceval,java,codellama-13b,naive,3-shot,2,SIGNATURE_CONTRACT,1,0.0037735849056603774
mceval,java,codellama-13b,naive,3-shot,2,SYNTAX_COMPILE,54,0.2037735849056604
mceval,java,codellama-13b,naive,3-shot,2,TIMEOUT,2,0.007547169811320755
mceval,java,codellama-13b,naive,3-shot,3,LOGIC_ASSERTION,134,0.5056603773584906
mceval,java,codellama-13b,naive,3-shot,3,PASS,64,0.24150943396226415
mceval,java,codellama-13b,naive,3-shot,3,RUNTIME_EXCEPTION,9,0.033962264150943396
mceval,java,codellama-13b,naive,3-shot,3,SYNTAX_COMPILE,54,0.2037735849056604
mceval,java,codellama-13b,naive,3-shot,3,TIMEOUT,4,0.01509433962264151
mceval,java,codellama-13b,naive,3-shot,4,LOGIC_ASSERTION,138,0.5207547169811321
mceval,java,codellama-13b,naive,3-shot,4,PASS,63,0.23773584905660378
mceval,java,codellama-13b,naive,3-shot,4,RUNTIME_EXCEPTION,7,0.026415094339622643
mceval,java,codellama-13b,naive,3-shot,4,SYNTAX_COMPILE,55,0.20754716981132076
mceval,java,codellama-13b,naive,3-shot,4,TIMEOUT,2,0.007547169811320755
mceval,java,codellama-13b,retrieval,3-shot,0,LOGIC_ASSERTION,122,0.46037735849056605
mceval,java,codellama-13b,retrieval,3-shot,0,PASS,77,0.29056603773584905
