ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,2.833,0.0266,0.10641,0.10641
2,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,1.2,0.8238,1.0,1.0
3,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,2.5,0.06357,0.1907,0.12714
4,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,1.077,1.0,1.0,1.0
5,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,1.143,1.0,1.0,1.0
6,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,1.571,0.4545,1.0,0.909
7,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,1.333,0.77441,1.0,1.0
8,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,2.167,0.14346,0.57385,0.57385
9,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,1.5,0.34493,0.99115,0.45826
10,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,1.636,0.24779,0.99115,0.45826
11,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,1.385,0.45826,0.99115,0.45826
12,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,1.538,0.28104,0.99115,0.45826
13,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,0.611,0.24779,0.99115,0.99115
14,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,0.867,0.84502,1.0,1.0
15,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,0.917,1.0,1.0,1.0
16,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,0.889,1.0,1.0,1.0
17,gpt-20b,java,zero,0-shot,BASE vs STRUCT,2.25,0.22656,0.90625,0.60352
18,gpt-20b,java,zero,0-shot,BASE vs ROBUST,0.833,1.0,1.0,1.0
19,gpt-20b,java,zero,0-shot,BASE vs REASONING,0.9,1.0,1.0,1.0
20,gpt-20b,java,zero,0-shot,BASE vs EDGE,1.833,0.30176,0.90625,0.60352
21,codellama-7b,java,zero,0-shot,BASE vs STRUCT,0.571,0.26318,1.0,0.94809
22,codellama-7b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
23,codellama-7b,java,zero,0-shot,BASE vs REASONING,0.824,0.71107,1.0,0.94809
24,codellama-7b,java,zero,0-shot,BASE vs EDGE,0.789,0.59661,1.0,0.94809
25,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,4.8,0.00031,0.00031,0.00031
26,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,5.8,2e-05,6e-05,4e-05
27,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,4.667,0.00011,0.00023,0.00015
28,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,6.75,2e-05,6e-05,4e-05
29,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs STRUCT,1.75,0.14961,0.14961,0.14961
30,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs ROBUST,2.75,0.01254,0.03762,0.02508
31,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs REASONING,2.2,0.04277,0.08555,0.05703
32,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs EDGE,3.0,0.00294,0.01174,0.01174
33,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,1.929,0.05325,0.15976,0.071
34,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,1.929,0.05325,0.15976,0.071
35,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,2.167,0.02882,0.11527,0.071
36,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,1.786,0.09887,0.15976,0.09887
37,codellama-13b,java,naive,3-shot,BASE vs STRUCT,1.385,0.45826,1.0,1.0
38,codellama-13b,java,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
39,codellama-13b,java,naive,3-shot,BASE vs REASONING,0.867,0.84502,1.0,1.0
40,codellama-13b,java,naive,3-shot,BASE vs EDGE,0.786,0.67764,1.0,1.0
41,codellama-13b,java,zero,0-shot,BASE vs STRUCT,1.636,0.24779,0.99115,0.86417
42,codellama-13b,java,zero,0-shot,BASE vs ROBUST,1.3,0.66362,1.0,0.86417
43,codellama-13b,java,zero,0-shot,BASE vs REASONING,1.118,0.86417,1.0,0.86417
44,codellama-13b,java,zero,0-shot,BASE vs EDGE,1.214,0.71107,1.0,0.86417
45,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,1.214,0.71107,1.0,0.94809
46,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
47,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,1.333,0.5572,1.0,0.94809
48,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,1.25,0.69004,1.0,0.94809
49,gpt-20b,java,naive,3-shot,BASE vs STRUCT,0.636,0.4545,1.0,0.77441
50,gpt-20b,java,naive,3-shot,BASE vs ROBUST,1.333,0.64761,1.0,0.77441
51,gpt-20b,java,naive,3-shot,BASE vs REASONING,1.333,0.77441,1.0,0.77441
52,gpt-20b,java,naive,3-shot,BASE vs EDGE,1.429,0.60724,1.0,0.77441
53,qwen3.8-27b-original,java,zero,0-shot,BASE vs STRUCT,1.714,0.33231,1.0,0.62906
54,qwen3.8-27b-original,java,zero,0-shot,BASE vs ROBUST,1.375,0.62906,1.0,0.62906
55,qwen3.8-27b-original,java,zero,0-shot,BASE vs REASONING,1.75,0.26318,1.0,0.62906
56,qwen3.8-27b-original,java,zero,0-shot,BASE vs EDGE,1.4,0.52347,1.0,0.62906
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,0.818,0.81453,0.81453,0.81453
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,0.611,0.24779,0.5548,0.33038
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,0.55,0.13605,0.54418,0.33038
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,0.579,0.18493,0.5548,0.33038
61,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,1.333,0.5572,0.60636,0.5572
62,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,1.667,0.28628,0.60636,0.3817
63,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,0.529,0.15159,0.60636,0.30318
64,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,1.889,0.15159,0.60636,0.30318
65,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,1.077,1.0,1.0,1.0
66,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,0.7,0.37709,1.0,1.0
67,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,0.944,1.0,1.0,1.0
68,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,0.895,0.86417,1.0,1.0
69,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,3.4,0.01182,0.04727,0.02364
70,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,3.4,0.01182,0.04727,0.02364
