iteration,model,comparison,prompt_index,cosine_similarity,left_words,right_words,prompt_bundle_sha256
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.82031476,20,19,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.84729385,40,38,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.86306489,57,56,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.85422438,82,80,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.87372923,97,94,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.70949608,20,19,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.72858369,40,42,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.74048787,57,58,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.75061804,82,83,
0,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.75458157,97,99,
0,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.76822460,19,19,
0,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.80645287,38,42,
0,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.81646585,56,58,
0,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.84079778,80,83,
0,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.84743464,94,99,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.82031476,20,19,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.84729385,40,38,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.86306489,57,56,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.85422438,82,80,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.87372923,97,94,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86208349,40,43,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87005579,57,61,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87823039,82,89,
1,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.85993439,97,104,
1,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.77584124,19,20,
1,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.81031358,38,43,
1,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.82404464,56,61,
1,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.81990319,80,89,
1,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.82882565,94,104,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.86829293,20,22,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.84591067,40,41,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.85414886,57,59,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.87553346,82,83,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.86153436,97,97,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86208349,40,43,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87005579,57,61,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87823039,82,89,
2,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.85993439,97,104,
2,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.86635643,22,20,
2,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.87927783,41,43,
2,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.89233279,59,61,
2,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.90543532,83,89,
2,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.91144657,97,104,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.86829293,20,22,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.86908066,40,42,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.88144141,57,60,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.89277214,82,84,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.88103068,97,98,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86208349,40,43,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87005579,57,61,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87823039,82,89,
3,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.85993439,97,104,
3,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.86635643,22,20,
3,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.89539540,42,43,
3,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.90847951,60,61,
3,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.91203648,84,89,
3,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.91864610,98,104,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.86829293,20,22,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.86908066,40,42,
