prompt_set,set_label,prompt_index,prompt_level,token_count,vocabulary_size,shannon_entropy_bits,normalized_shannon_entropy,prompt_bundle_sha256
original,Original,1,Base,20,20,4.32192809,1.00000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original,Original,2,Struct,40,37,5.15305591,0.98917402,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original,Original,3,Robust,57,51,5.58727598,0.98498890,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original,Original,4,Reason,82,66,5.89090978,0.97460716,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original,Original,5,Edge,97,74,6.02345772,0.97004637,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,1,Base,19,18,4.14266436,0.99346256,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,2,Struct,38,34,5.01753574,0.98625501,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,3,Robust,54,48,5.51868588,0.98813302,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,4,Reason,74,59,5.72959154,0.97398253,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a,Imperative,5,Edge,88,70,5.96339202,0.97293468,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,1,Base,20,20,4.32192809,1.00000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,2,Struct,41,39,5.24157914,0.99170866,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,3,Robust,56,51,5.59306921,0.98601019,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,4,Reason,81,67,5.92614908,0.97693075,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_b,Declarative,5,Edge,95,76,6.08136748,0.97334156,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
