model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@5,43.40,41.51,41.51,39.62,41.51
codellama-13b,java,retrieval,3-shot,pass@5,45.28,39.62,49.06,45.28,41.51
codellama-13b,java,zero,0-shot,pass@5,41.51,45.28,45.28,47.17,43.40
codellama-13b,python,naive,3-shot,pass@5,50.00,44.00,42.00,48.00,40.00
codellama-13b,python,retrieval,3-shot,pass@5,48.00,42.00,46.00,44.00,48.00
codellama-13b,python,zero,0-shot,pass@5,46.00,40.00,44.00,38.00,44.00
codellama-34b,java,naive,3-shot,pass@5,45.28,45.28,47.17,43.40,43.40
codellama-34b,java,retrieval,3-shot,pass@5,37.74,52.83,41.51,45.28,47.17
codellama-34b,java,zero,0-shot,pass@5,50.94,43.40,43.40,39.62,45.28
codellama-34b,python,naive,3-shot,pass@5,44.00,46.00,42.00,48.00,42.00
codellama-34b,python,retrieval,3-shot,pass@5,42.00,34.00,40.00,36.00,44.00
codellama-34b,python,zero,0-shot,pass@5,44.00,36.00,42.00,36.00,34.00
codellama-7b,java,naive,3-shot,pass@5,28.30,41.51,26.42,41.51,41.51
codellama-7b,java,retrieval,3-shot,pass@5,35.85,37.74,37.74,33.96,39.62
codellama-7b,java,zero,0-shot,pass@5,33.96,33.96,32.08,35.85,37.74
codellama-7b,python,naive,3-shot,pass@5,30.00,38.00,36.00,34.00,30.00
codellama-7b,python,retrieval,3-shot,pass@5,40.00,36.00,40.00,40.00,36.00
codellama-7b,python,zero,0-shot,pass@5,40.00,40.00,40.00,34.00,34.00
gpt-20b,java,naive,3-shot,pass@5,84.91,90.57,83.02,90.57,86.79
gpt-20b,java,retrieval,3-shot,pass@5,90.57,90.57,86.79,88.68,90.57
gpt-20b,java,zero,0-shot,pass@5,88.68,86.79,90.57,88.68,86.79
gpt-20b,python,naive,3-shot,pass@5,88.00,88.00,86.00,86.00,86.00
gpt-20b,python,retrieval,3-shot,pass@5,88.00,86.00,86.00,88.00,86.00
gpt-20b,python,zero,0-shot,pass@5,88.00,86.00,88.00,84.00,86.00
qwen2.5-1.5b,java,naive,3-shot,pass@5,52.83,50.94,47.17,52.83,54.72
qwen2.5-1.5b,java,retrieval,3-shot,pass@5,54.72,58.49,54.72,58.49,52.83
qwen2.5-1.5b,java,zero,0-shot,pass@5,54.72,58.49,54.72,50.94,43.40
qwen2.5-1.5b,python,naive,3-shot,pass@5,48.00,48.00,48.00,54.00,48.00
qwen2.5-1.5b,python,retrieval,3-shot,pass@5,44.00,46.00,42.00,44.00,50.00
qwen2.5-1.5b,python,zero,0-shot,pass@5,48.00,50.00,50.00,48.00,48.00
qwen2.5-32b,java,naive,3-shot,pass@5,75.47,73.58,71.70,71.70,73.58
qwen2.5-32b,java,retrieval,3-shot,pass@5,73.58,73.58,75.47,75.47,73.58
qwen2.5-32b,java,zero,0-shot,pass@5,73.58,75.47,73.58,73.58,69.81
qwen2.5-32b,python,naive,3-shot,pass@5,86.00,88.00,80.00,80.00,84.00
qwen2.5-32b,python,retrieval,3-shot,pass@5,86.00,82.00,78.00,78.00,78.00
qwen2.5-32b,python,zero,0-shot,pass@5,80.00,88.00,88.00,86.00,76.00
qwen2.5-7b,java,naive,3-shot,pass@5,69.81,71.70,71.70,69.81,67.92
qwen2.5-7b,java,retrieval,3-shot,pass@5,69.81,77.36,69.81,67.92,69.81
qwen2.5-7b,java,zero,0-shot,pass@5,67.92,69.81,69.81,67.92,69.81
qwen2.5-7b,python,naive,3-shot,pass@5,76.00,74.00,70.00,78.00,74.00
qwen2.5-7b,python,retrieval,3-shot,pass@5,72.00,72.00,76.00,74.00,74.00
qwen2.5-7b,python,zero,0-shot,pass@5,76.00,76.00,74.00,76.00,72.00
