ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-34b-paraphrase-a,java,zero,0-shot,BASE vs STRUCT,2.5,0.375,1.0,1.0
2,codellama-34b-paraphrase-a,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
3,codellama-34b-paraphrase-a,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
4,codellama-34b-paraphrase-a,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
5,gpt-20b-paraphrase-a,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
6,gpt-20b-paraphrase-a,java,zero,0-shot,BASE vs ROBUST,0.5,0.45312,1.0,1.0
7,gpt-20b-paraphrase-a,java,zero,0-shot,BASE vs REASONING,1.667,0.6875,1.0,1.0
8,gpt-20b-paraphrase-a,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
9,qwen2.5-32b-paraphrase-a,java,zero,0-shot,BASE vs STRUCT,3.0,0.5,1.0,1.0
10,qwen2.5-32b-paraphrase-a,java,zero,0-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
11,qwen2.5-32b-paraphrase-a,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
12,qwen2.5-32b-paraphrase-a,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
