dataset,language,model,method,shot,prompt_index,failure_type,count,rate
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,0,LOGIC_ASSERTION,19,0.3584905660377358
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,0,PASS,16,0.3018867924528302
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,0,RUNTIME_EXCEPTION,3,0.05660377358490566
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,0,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,1,LOGIC_ASSERTION,24,0.4528301886792453
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,1,PASS,13,0.24528301886792453
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,1,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,1,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,2,LOGIC_ASSERTION,18,0.33962264150943394
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,2,PASS,16,0.3018867924528302
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,2,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,2,SYNTAX_COMPILE,17,0.32075471698113206
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,3,LOGIC_ASSERTION,18,0.33962264150943394
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,3,PASS,16,0.3018867924528302
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,3,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,3,SYNTAX_COMPILE,17,0.32075471698113206
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,4,LOGIC_ASSERTION,20,0.37735849056603776
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,4,PASS,16,0.3018867924528302
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,4,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-a,zero,0-shot,4,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,0,EMPTY_GENERATION,4,0.07547169811320754
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,0,LOGIC_ASSERTION,2,0.03773584905660377
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,0,PASS,41,0.7735849056603774
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,0,SYNTAX_COMPILE,6,0.11320754716981132
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,1,EMPTY_GENERATION,4,0.07547169811320754
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,1,LOGIC_ASSERTION,2,0.03773584905660377
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,1,PASS,41,0.7735849056603774
mceval,java,gpt-20b-paraphrase-a,zero,0-shot,1,SYNTAX_COMPILE,6,0.11320754716981132
