comparison,left_set,left_label,right_set,right_label,prompt_index,prompt_level,left_token_count,right_token_count,lexical_jaccard_overlap,token_levenshtein_distance,normalized_token_edit_distance,prompt_bundle_sha256
original__paraphrase_a,original,Original,paraphrase_a,Imperative,1,Base,20,19,0.58333333,6,0.30000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_a,original,Original,paraphrase_a,Imperative,2,Struct,40,38,0.65116279,10,0.25000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_a,original,Original,paraphrase_a,Imperative,3,Robust,57,54,0.45588235,24,0.42105263,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_a,original,Original,paraphrase_a,Imperative,4,Reason,82,74,0.37362637,47,0.57317073,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_a,original,Original,paraphrase_a,Imperative,5,Edge,97,88,0.41176471,51,0.52577320,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_b,original,Original,paraphrase_b,Declarative,1,Base,20,20,0.60000000,6,0.30000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_b,original,Original,paraphrase_b,Declarative,2,Struct,40,41,0.68888889,13,0.31707317,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_b,original,Original,paraphrase_b,Declarative,3,Robust,57,56,0.72881356,18,0.31578947,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_b,original,Original,paraphrase_b,Declarative,4,Reason,82,81,0.68354430,31,0.37804878,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
original__paraphrase_b,original,Original,paraphrase_b,Declarative,5,Edge,97,95,0.68539326,34,0.35051546,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a__paraphrase_b,paraphrase_a,Imperative,paraphrase_b,Declarative,1,Base,19,20,0.52000000,8,0.40000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a__paraphrase_b,paraphrase_a,Imperative,paraphrase_b,Declarative,2,Struct,38,41,0.58695652,15,0.36585366,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a__paraphrase_b,paraphrase_a,Imperative,paraphrase_b,Declarative,3,Robust,54,56,0.41428571,28,0.50000000,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a__paraphrase_b,paraphrase_a,Imperative,paraphrase_b,Declarative,4,Reason,74,81,0.38461538,48,0.59259259,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
paraphrase_a__paraphrase_b,paraphrase_a,Imperative,paraphrase_b,Declarative,5,Edge,88,95,0.44554455,49,0.51578947,ce20985afe798b1a6ce7598345c2da151e47769e1e3497e1442df5aeec100707
