dataset,language,model,method,shot,prompt_index,failure_type,count,rate
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,0,LOGIC_ASSERTION,22,0.41509433962264153
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,0,PASS,14,0.2641509433962264
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,0,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,0,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,1,LOGIC_ASSERTION,22,0.41509433962264153
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,1,PASS,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,1,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,1,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,2,LOGIC_ASSERTION,20,0.37735849056603776
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,2,PASS,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,2,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,2,SYNTAX_COMPILE,16,0.3018867924528302
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,3,LOGIC_ASSERTION,23,0.4339622641509434
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,3,PASS,14,0.2641509433962264
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,3,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,3,SYNTAX_COMPILE,14,0.2641509433962264
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,4,LOGIC_ASSERTION,21,0.39622641509433965
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,4,PASS,15,0.2830188679245283
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,4,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-34b-paraphrase-b,zero,0-shot,4,SYNTAX_COMPILE,15,0.2830188679245283
mceval,java,gpt-20b-paraphrase-b,zero,0-shot,0,EMPTY_GENERATION,4,0.07547169811320754
