ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,1.333,0.77441,1.0,1.0
2,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,0.923,1.0,1.0,1.0
3,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,1.083,1.0,1.0,1.0
4,codellama-34b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,0.857,0.83882,1.0,1.0
5,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,0.9,1.0,1.0,1.0
6,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,0.467,0.11532,0.46127,0.46127
7,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,1.091,1.0,1.0,1.0
8,gpt-20b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,0.917,1.0,1.0,1.0
9,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs STRUCT,0.3,0.06543,0.26172,0.26172
10,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs ROBUST,0.538,0.23788,0.71365,0.47577
11,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs REASONING,0.7,0.60724,1.0,0.79053
12,qwen2.5-32b-paraphrase-b,java,zero,0-shot,BASE vs EDGE,0.778,0.79053,1.0,0.79053
